ad_id,campaign_name,placement,spend,impressions,clicks,installs,signups,trials,adj_trials,trial_converts,init_purch,adj_init_purch,v3s,thruplays
120242508326330167,tw_meta_standard_ios_tw-en_pros_trial_ongoing_winning,instagram_reels,0.77,231,2,0,0,0,0.0,0,0,0.0,0,0
120242508326330167,tw_meta_standard_ios_tw-en_pros_trial_ongoing_winning,instagram_stories,33.94,11959,514,0,0,0,0.0,0,0,0.0,0,0
120242508326330167,tw_meta_standard_ios_tw-en_pros_trial_ongoing_winning,instream_video,1.6,438,9,0,0,0,0.0,0,0,0.0,0,0
120242508326330167,tw_meta_standard_ios_tw-en_pros_trial_ongoing_winning,marketplace,0.01,13,0,0,0,0,0.0,0,0,0.0,0,0
120242508326330167,tw_meta_standard_ios_tw-en_pros_trial_ongoing_winning,search,0.02,13,0,0,0,0,0.0,0,0,0.0,0,0
120242508965130167,tw_meta_standard_ios_tw-en_pros_trial_ongoing_winning,an_classic,0.86,513,8,0,0,0,0.0,0,0,0.0,0,0
120242508965130167,tw_meta_standard_ios_tw-en_pros_trial_ongoing_winning,facebook_notification,0.2,4,0,0,0,0,0.0,0,0,0.0,0,0
120242508965130167,tw_meta_standard_ios_tw-en_pros_trial_ongoing_winning,facebook_reels,1.92,672,1,0,0,0,0.0,0,0,0.0,0,0
120242508965130167,tw_meta_standard_ios_tw-en_pros_trial_ongoing_winning,facebook_reels_overlay,0.65,527,3,0,0,0,0.0,0,0,0.0,0,0
120242508965130167,tw_meta_standard_ios_tw-en_pros_trial_ongoing_winning,facebook_stories,3.05,1011,9,0,0,0,0.0,0,0,0.0,0,0
120242508965130167,tw_meta_standard_ios_tw-en_pros_trial_ongoing_winning,feed,20.15,3940,28,0,0,0,0.0,0,0,0.0,0,0
120242508965130167,tw_meta_standard_ios_tw-en_pros_trial_ongoing_winning,instagram_reels,2.45,604,5,0,0,0,0.0,0,0,0.0,0,0
120242508965130167,tw_meta_standard_ios_tw-en_pros_trial_ongoing_winning,instagram_stories,39.89,12221,705,0,0,0,0.0,0,0,0.0,0,0
120242508965130167,tw_meta_standard_ios_tw-en_pros_trial_ongoing_winning,instream_video,2.26,501,13,0,0,0,0.0,0,0,0.0,0,0
120242508965130167,tw_meta_standard_ios_tw-en_pros_trial_ongoing_winning,marketplace,0.01,12,0,0,0,0,0.0,0,0,0.0,0,0
120242508965130167,tw_meta_standard_ios_tw-en_pros_trial_ongoing_winning,search,0.02,11,0,0,0,0,0.0,0,0,0.0,0,0
120242510079090167,tw_meta_standard_ios_tw-en_pros_trial_ongoing_winning,an_classic,0.04,8,0,0,0,0,0.0,0,0,0.0,0,0
120242510079090167,tw_meta_standard_ios_tw-en_pros_trial_ongoing_winning,facebook_reels,0.11,36,0,0,0,0,0.0,0,0,0.0,0,0
120242510079090167,tw_meta_standard_ios_tw-en_pros_trial_ongoing_winning,feed,0.71,125,0,0,0,0,0.0,0,0,0.0,0,0
120242510079090167,tw_meta_standard_ios_tw-en_pros_trial_ongoing_winning,instagram_reels,0.06,6,0,0,0,0,0.0,0,0,0.0,0,0
120242510079090167,tw_meta_standard_ios_tw-en_pros_trial_ongoing_winning,instagram_stories,0.12,25,0,0,0,0,0.0,0,0,0.0,0,0
120242510079090167,tw_meta_standard_ios_tw-en_pros_trial_ongoing_winning,marketplace,0.0,1,0,0,0,0,0.0,0,0,0.0,0,0
120242510079090167,tw_meta_standard_ios_tw-en_pros_trial_ongoing_winning,search,0.01,1,0,0,0,0,0.0,0,0,0.0,0,0
120242510079090167,tw_meta_standard_ios_tw-en_pros_trial_ongoing_winning,threads_feed,0.01,2,0,0,0,0,0.0,0,0,0.0,0,0
120243701212520167,tw_meta_standard_ios_tw-en_pros_trial_ongoing_winning,an_classic,1.38,150,24,0,0,0,0.0,0,0,0.0,107,13
120243701212520167,tw_meta_standard_ios_tw-en_pros_trial_ongoing_winning,biz_disco_feed,0.0,2,0,0,0,0,0.0,0,0,0.0,0,0
120243701212520167,tw_meta_standard_ios_tw-en_pros_trial_ongoing_winning,facebook_notification,4.68,538,4,0,0,0,0.0,0,0,0.0,0,0
120243701212520167,tw_meta_standard_ios_tw-en_pros_trial_ongoing_winning,facebook_profile_feed,7.07,1533,6,0,0,0,0.0,0,0,0.0,201,7
120243701212520167,tw_meta_standard_ios_tw-en_pros_trial_ongoing_winning,facebook_reels,260.99,58950,301,12,9,5,8.93,0,3,0.0,13474,234
120243701212520167,tw_meta_standard_ios_tw-en_pros_trial_ongoing_winning,facebook_reels_overlay,1.67,1156,5,0,0,0,0.0,0,0,0.0,0,0
120243701212520167,tw_meta_standard_ios_tw-en_pros_trial_ongoing_winning,facebook_stories,117.82,10564,271,4,3,2,3.3,0,2,0.0,2482,223
120243701212520167,tw_meta_standard_ios_tw-en_pros_trial_ongoing_winning,feed,359.43,47293,795,18,11,1,1.85,0,1,0.0,8806,186
120243701212520167,tw_meta_standard_ios_tw-en_pros_trial_ongoing_winning,instagram_explore_grid_home,0.07,35,0,0,0,0,0.0,0,0,0.0,25,0
120243701212520167,tw_meta_standard_ios_tw-en_pros_trial_ongoing_winning,instagram_reels,239.25,46515,142,9,4,2,3.78,0,0,0.0,7783,129
120243701212520167,tw_meta_standard_ios_tw-en_pros_trial_ongoing_winning,instagram_stories,55.7,7344,82,2,0,0,0.0,0,0,0.0,847,65
120243701212520167,tw_meta_standard_ios_tw-en_pros_trial_ongoing_winning,instream_video,34.0,5698,136,0,0,0,0.0,0,0,0.0,2809,56
120243701212520167,tw_meta_standard_ios_tw-en_pros_trial_ongoing_winning,marketplace,3.9,1653,16,0,0,0,0.0,0,0,0.0,295,3
120243701212520167,tw_meta_standard_ios_tw-en_pros_trial_ongoing_winning,rewarded_video,15.75,1089,252,2,1,1,1.85,0,0,0.0,1058,636
120243701212520167,tw_meta_standard_ios_tw-en_pros_trial_ongoing_winning,search,2.29,255,6,1,1,0,0.0,0,0,0.0,48,2
120243701212520167,tw_meta_standard_ios_tw-en_pros_trial_ongoing_winning,unknown,0.0,2,0,0,0,0,0.0,0,0,0.0,0,0
120245092958860167,tw_meta_standard_ios_tw-en_pros_trial_ongoing_winning,an_classic,0.09,14,0,0,0,0,0.0,0,0,0.0,0,0
120245092958860167,tw_meta_standard_ios_tw-en_pros_trial_ongoing_winning,biz_disco_feed,0.01,2,0,0,0,0,0.0,0,0,0.0,1,0
120245092958860167,tw_meta_standard_ios_tw-en_pros_trial_ongoing_winning,facebook_notification,54.65,6124,105,0,0,0,0.0,0,0,0.0,0,0
120245092958860167,tw_meta_standard_ios_tw-en_pros_trial_ongoing_winning,facebook_reels,5834.38,1001180,13146,327,208,114,186.86,3,20,0.0,178540,466
120245092958860167,tw_meta_standard_ios_tw-en_pros_trial_ongoing_winning,facebook_reels_overlay,32.61,21128,207,0,0,0,0.0,0,0,0.0,0,0
120245092958860167,tw_meta_standard_ios_tw-en_pros_trial_ongoing_winning,feed,2880.67,336783,3829,138,84,59,100.0,3,18,0.0,111065,189
