ad_id,campaign_name,installs,signups,trial_starts,trial_starts_sa,trial_starts_ca,trial_converts,trial_converts_sa,trial_converts_ca,initial_purchases,paid,ltv,forecasted_ltv,trial_or_purchase_sa
120248526868210167,No Campaign Name,532,230.0,97.0,97.0,0.0,39.68,39.68,0.0,0.0,39.68,4017.5,3458.5,104
120248822296120167,tw_meta_standard_ios_tw-en_pros_trial_ongoing_scaling2,583,312.0,91.0,91.0,0.0,35.68,35.68,0.0,0.0,35.68,3614.7,3242.7,97
120249784171630167,tw_meta_standard_ios_tw-en_pros_trial_ongoing_scaling2,611,304.0,79.0,79.0,0.0,31.06,31.06,0.0,0.0,31.06,3230.2,2740.1,84
120246191491950167,tw_meta_standard_ios_tw-en_pros_trial_ongoing_winning,345,137.0,66.0,66.0,0.0,25.73,25.73,0.0,0.0,25.73,2649.5,2516.1,69
120247887628100167,tw_meta_standard_ios_tw-en_pros_trial_ongoing_scaling2,322,172.0,58.0,58.0,0.0,24.23,24.23,0.0,0.0,24.23,2503.8,2294.3,64
120249918254160167,tw_meta_standard_ios_tw-en_pros_trial_ongoing_scaling2,387,209.0,58.0,58.0,0.0,22.98,22.98,0.0,0.0,22.98,2389.4,2012.3,67
120249176077580167,tw_meta_standard_ios_tw-en_pros_purchase_ongoing_no-disc_testing,368,203.0,60.0,60.0,0.0,22.52,22.52,0.0,0.0,22.52,2297.9,2122.8,68
120246363710880167,tw_meta_standard_ios_tw-en_pros_trial_ongoing_scaling2,321,150.0,53.0,53.0,0.0,21.45,21.45,0.0,0.0,21.45,2210.8,2069.2,58
120247758597150167,tw_meta_standard_ios_tw-en_pros_trial_ongoing_scaling2,262,126.0,48.0,48.0,0.0,19.8,19.8,0.0,0.0,19.8,2044.8,1894.8,52
120249918980570167,tw_meta_standard_ios_tw-en_pros_purchase_ongoing_no-disc_testing,557,182.0,52.0,52.0,0.0,19.73,19.73,0.0,0.0,19.73,2051.4,1807.8,57
120246913718270167,tw_meta_standard_ios_tw-en_pros_trial_ongoing_winning,337,144.0,50.0,50.0,0.0,19.6,19.6,0.0,0.0,19.6,2025.4,1969.3,55
120249242631140167,tw_meta_standard_ios_tw-en_pros_trial_ongoing_scaling2,402,161.0,50.0,50.0,0.0,18.69,18.69,0.0,0.0,18.69,1894.5,1780.8,54
120248334979440167,tw_meta_standard_ios_tw-en_pros_purchase_ongoing_no-disc_testing,190,117.0,43.0,43.0,0.0,17.81,17.81,0.0,0.0,17.81,1806.2,1548.8,46
120249469567010167,tw_meta_standard_ios_tw-en_pros_purchase_ongoing_no-disc_testing,236,142.0,45.0,45.0,0.0,17.73,17.73,0.0,0.0,17.73,1843.3,1561.4,48
120249315126190167,tw_meta_standard_ios_tw-en_pros_trial_ongoing_scaling2,301,144.0,45.0,45.0,0.0,16.86,16.86,0.0,0.0,16.86,1730.6,1582.1,48
120249020714940167,tw_meta_standard_ios_tw-en_pros_purchase_ongoing_no-disc_testing,246,119.0,42.0,42.0,0.0,15.67,15.67,0.0,0.0,15.67,1629.4,1456.7,43
120248334982400167,tw_meta_standard_ios_tw-en_pros_purchase_ongoing_no-disc_testing,178,96.0,37.0,37.0,0.0,15.38,15.38,0.0,0.0,15.38,1583.6,1436.3,39
120246280893240167,tw_meta_standard_ios_tw-en_pros_purchase_ongoing_no-disc_testing,187,96.0,36.0,36.0,0.0,14.25,14.25,0.0,0.0,14.25,1472.3,1424.0,38
120246363710870167,tw_meta_standard_ios_tw-en_pros_trial_ongoing_scaling2,230,104.0,35.0,35.0,0.0,14.02,14.02,0.0,0.0,14.02,1448.2,1384.5,37
120248719356730167,tw_meta_standard_ios_tw-en_pros_purchase_ongoing_no-disc_testing,157,79.0,34.0,34.0,0.0,14.01,14.01,0.0,0.0,14.01,1418.2,1212.3,35
120246363710980167,tw_meta_standard_ios_tw-en_pros_trial_ongoing_wining2,231,108.0,34.0,34.0,0.0,13.69,13.69,0.0,0.0,13.69,1414.3,1344.9,34
120249918145530167,tw_meta_standard_ios_tw-en_pros_trial_ongoing_scaling2,214,87.0,34.0,34.0,0.0,12.82,12.82,0.0,0.0,12.82,1333.4,1187.8,37
120249918291540167,tw_meta_standard_ios_tw-en_pros_trial_ongoing_scaling2,200,69.0,32.0,32.0,0.0,12.73,12.73,0.0,0.0,12.73,1324.1,1109.9,32
120250115000200167,tw_meta_standard_ios_tw-en_pros_trial_ongoing_scaling2,243,100.0,36.0,36.0,0.0,12.72,12.72,0.0,0.0,12.72,1323.0,1270.5,39
120248718399620167,tw_meta_standard_ios_tw-en_pros_purchase_ongoing_no-disc_testing,240,118.0,30.0,30.0,0.0,12.3,12.3,0.0,0.0,12.3,1245.1,1069.6,35
120246912412500167,tw_meta_standard_ios_tw-en_pros_trial_ongoing_winning,305,149.0,31.0,31.0,0.0,12.22,12.22,0.0,0.0,12.22,1263.0,1226.2,32
120249779562150167,tw_meta_standard_ios_tw-en_pros_purchase_ongoing_no-disc_testing,154,83.0,30.0,30.0,0.0,11.91,11.91,0.0,0.0,11.91,1239.0,1040.5,32
120247889143360167,tw_meta_standard_ios_tw-en_pros_trial_ongoing_winning,230,70.0,30.0,30.0,0.0,11.87,11.87,0.0,0.0,11.87,1209.8,1085.3,35
120245417330630167,tw_meta_standard_ios_tw-en_pros_trial_ongoing_winning,187,81.0,30.0,30.0,0.0,11.77,11.77,0.0,0.0,11.77,1216.0,1186.7,33
120247887774070167,tw_meta_standard_ios_tw-en_pros_trial_ongoing_scaling2,134,71.0,28.0,28.0,0.0,11.57,11.57,0.0,0.0,11.57,1185.7,1060.8,29
120249176075550167,tw_meta_standard_ios_tw-en_pros_purchase_ongoing_no-disc_testing,251,110.0,30.0,30.0,0.0,11.46,11.46,0.0,0.0,11.46,1159.8,1069.6,30
120249918296230167,tw_meta_standard_ios_tw-en_pros_trial_ongoing_winning,246,77.0,27.0,27.0,0.0,10.37,10.37,0.0,0.0,10.37,1078.0,941.9,31
120248686842540167,tw_meta_standard_ios_tw-en_pros_trial_ongoing_winning,162,66.0,25.0,25.0,0.0,10.05,10.05,0.0,0.0,10.05,1017.5,891.4,25
120246694232840167,tw_meta_standard_ios_tw-en_pros_trial_ongoing_winning3,110,61.0,25.0,25.0,0.0,9.87,9.87,0.0,0.0,9.87,1019.9,988.9,25
120250114986240167,tw_meta_standard_ios_tw-en_pros_purchase_ongoing_no-disc_testing,167,78.0,28.0,28.0,0.0,9.69,9.69,0.0,0.0,9.69,1007.1,988.2,31
120246191401160167,tw_meta_standard_ios_tw-en_pros_trial_ongoing_winning,184,77.0,25.0,25.0,0.0,9.18,9.18,0.0,0.0,9.18,951.8,929.2,27
120248324906930167,tw_meta_standard_ios_tw-en_pros_trial_ongoing_scaling2,170,72.0,22.0,22.0,0.0,9.17,9.17,0.0,0.0,9.17,945.3,862.4,24
120246997861740167,tw_meta_standard_ios_tw-en_pros_purchase_ongoing_no-disc_testing,112,69.0,23.0,23.0,0.0,9.12,9.12,0.0,0.0,9.12,942.7,909.8,23
120250212082910167,tw_meta_standard_ios_tw-en_pros_purchase_ongoing_no-disc_testing,138,69.0,25.0,25.0,0.0,8.78,8.78,0.0,0.0,8.78,913.4,882.3,26
120247189268040167,tw_meta_standard_ios_tw-en_pros_purchase_ongoing_no-disc_testing,134,59.0,20.0,20.0,0.0,8.36,8.36,0.0,0.0,8.36,863.3,791.1,22
120245417330650167,tw_meta_standard_ios_tw-en_pros_trial_ongoing_winning,117,50.0,21.0,21.0,0.0,8.24,8.24,0.0,0.0,8.24,851.3,830.7,22
120249069884080167,tw_meta_standard_ios_tw-en_pros_trial_ongoing_scaling2,148,57.0,21.0,21.0,0.0,8.11,8.11,0.0,0.0,8.11,820.7,748.8,22
120249990614210167,tw_meta_standard_ios_tw-en_pros_purchase_ongoing_no-disc_testing,149,57.0,22.0,22.0,0.0,7.87,7.87,0.0,0.0,7.87,818.3,772.2,25
120249469567200167,tw_meta_standard_ios_tw-en_pros_purchase_ongoing_no-disc_testing,99,50.0,20.0,20.0,0.0,7.7,7.7,0.0,0.0,7.7,800.9,693.7,20
120248530261670167,tw_meta_standard_ios_tw-en_pros_purchase_ongoing_no-disc_testing,78,39.0,18.0,18.0,0.0,7.36,7.36,0.0,0.0,7.36,745.4,641.8,18
120248341577480167,tw_meta_standard_ios_tw-en_pros_purchase_ongoing_no-disc_testing,69,34.0,17.0,17.0,0.0,6.99,6.99,0.0,0.0,6.99,707.4,606.1,17
120249135201100167,tw_meta_standard_ios_tw-en_pros_trial_ongoing_winning,202,57.0,18.0,18.0,0.0,6.84,6.84,0.0,0.0,6.84,694.8,639.8,21
120247333574270167,tw_meta_standard_ios_tw-en_pros_trial_ongoing_winning,105,45.0,16.0,16.0,0.0,6.56,6.56,0.0,0.0,6.56,670.2,597.8,18
120247011580490167,tw_meta_standard_ios_tw-en_pros_purchase_ongoing_no-disc_testing,62,38.0,16.0,16.0,0.0,6.46,6.46,0.0,0.0,6.46,667.6,632.9,17
120249784181830167,tw_meta_standard_ios_tw-en_pros_trial_ongoing_scaling2,103,46.0,16.0,16.0,0.0,6.24,6.24,0.0,0.0,6.24,648.7,554.9,18
120246363711050167,tw_meta_standard_ios_tw-en_pros_trial_ongoing_scaling2,103,49.0,16.0,16.0,0.0,6.09,6.09,0.0,0.0,6.09,631.5,584.2,19
120249017877220167,tw_meta_standard_ios_tw-en_pros_purchase_ongoing_no-disc_testing,72,33.0,15.0,15.0,0.0,5.89,5.89,0.0,0.0,5.89,596.1,534.8,15
120249020624430167,tw_meta_standard_ios_tw-en_pros_purchase_ongoing_no-disc_testing,77,43.0,15.0,15.0,0.0,5.82,5.82,0.0,0.0,5.82,588.7,534.8,16
120250212023880167,tw_meta_standard_ios_tw-en_pros_purchase_ongoing_no-disc_testing,106,49.0,16.0,16.0,0.0,5.66,5.66,0.0,0.0,5.66,588.8,564.7,18
120249779562110167,tw_meta_standard_ios_tw-en_pros_purchase_ongoing_no-disc_testing,81,45.0,14.0,14.0,0.0,5.54,5.54,0.0,0.0,5.54,576.1,485.6,15
120249089547390167,tw_meta_standard_ios_tw-en_pros_trial_ongoing_winning,179,53.0,14.0,14.0,0.0,5.37,5.37,0.0,0.0,5.37,543.5,499.2,14
120249069983680167,tw_meta_standard_ios_tw-en_pros_purchase_ongoing_no-disc_testing,84,35.0,14.0,14.0,0.0,5.33,5.33,0.0,0.0,5.33,539.4,499.2,14
120248719912650167,tw_meta_standard_ios_tw-en_pros_purchase_ongoing_no-disc_testing,92,39.0,13.0,13.0,0.0,5.24,5.24,0.0,0.0,5.24,530.5,463.5,13
120243701212520167,tw_meta_standard_ios_tw-en_pros_trial_ongoing_winning,96,45.0,13.0,13.0,0.0,5.24,5.24,0.0,0.0,5.24,541.7,514.2,15
120246694266000167,tw_meta_standard_ios_tw-en_pros_trial_ongoing_winning3,80,41.0,13.0,13.0,0.0,5.18,5.18,0.0,0.0,5.18,533.9,506.4,14
120249176071730167,tw_meta_standard_ios_tw-en_pros_purchase_ongoing_no-disc_testing,85,51.0,13.0,13.0,0.0,4.96,4.96,0.0,0.0,4.96,501.8,463.5,12
120246282591040167,tw_meta_standard_ios_tw-en_pros_purchase_ongoing_no-disc_testing,49,28.0,12.0,12.0,0.0,4.74,4.74,0.0,0.0,4.74,490.2,474.7,12
120246363710740167,tw_meta_standard_ios_tw-en_pros_trial_ongoing_wining2,110,45.0,12.0,12.0,0.0,4.73,4.73,0.0,0.0,4.73,488.6,474.7,13
120249089572460167,tw_meta_standard_ios_tw-en_pros_trial_ongoing_scaling2,74,35.0,12.0,12.0,0.0,4.65,4.65,0.0,0.0,4.65,470.7,427.9,13
120249089633250167,No Campaign Name,138,39.0,12.0,12.0,0.0,4.63,4.63,0.0,0.0,4.63,468.4,427.9,12
120248341561120167,tw_meta_standard_ios_tw-en_pros_purchase_ongoing_no-disc_testing,49,21.0,11.0,11.0,0.0,4.44,4.44,0.0,0.0,4.44,449.5,392.2,13
120250308343730167,tw_meta_standard_ios_tw-en_pros_purchase_ongoing_no-disc_testing,58,34.0,13.0,13.0,0.0,4.44,4.44,0.0,0.0,4.44,461.4,458.8,13
120249642037430167,tw_meta_standard_ios_tw-en_pros_trial_ongoing_winning,99,26.0,11.0,11.0,0.0,4.2,4.2,0.0,0.0,4.2,436.4,381.5,11
120247888972120167,tw_meta_standard_ios_tw-en_pros_trial_ongoing_scaling2,58,30.0,10.0,10.0,0.0,4.1,4.1,0.0,0.0,4.1,416.8,364.4,10
120246363710890167,tw_meta_standard_ios_tw-en_pros_trial_ongoing_winning2,70,27.0,10.0,10.0,0.0,3.94,3.94,0.0,0.0,3.94,407.1,395.6,12
120249991414980167,tw_meta_standard_ios_tw-en_pros_purchase_ongoing_no-disc_testing,110,26.0,10.0,10.0,0.0,3.56,3.56,0.0,0.0,3.56,370.0,351.1,10
120249105317450167,tw_meta_standard_ios_tw-en_pros_trial_ongoing_winning,97,27.0,9.0,9.0,0.0,3.41,3.41,0.0,0.0,3.41,347.8,319.0,9
120248720012760167,tw_meta_standard_ios_tw-en_pros_purchase_ongoing_no-disc_testing,35,20.0,8.0,8.0,0.0,3.27,3.27,0.0,0.0,3.27,331.3,285.2,8
120250094596930167,tw_meta_standard_ios_tw-en_pros_trial_ongoing_winning,122,42.0,9.0,9.0,0.0,3.18,3.18,0.0,0.0,3.18,330.4,317.6,10
120246280884370167,tw_meta_standard_ios_tw-en_pros_purchase_ongoing_no-disc_testing,85,24.0,8.0,8.0,0.0,3.15,3.15,0.0,0.0,3.15,325.7,316.5,9
120248964820460167,tw_meta_standard_ios_tw-en_pros_trial_ongoing_scaling2,37,25.0,8.0,8.0,0.0,3.13,3.13,0.0,0.0,3.13,317.1,285.2,8
120249176072690167,tw_meta_standard_ios_tw-en_pros_purchase_ongoing_no-disc_testing,31,14.0,8.0,8.0,0.0,2.97,2.97,0.0,0.0,2.97,307.8,278.4,8
120248715194060167,tw_meta_standard_ios_tw-en_pros_trial_ongoing_scaling2,33,18.0,7.0,7.0,0.0,2.87,2.87,0.0,0.0,2.87,290.3,249.6,7
120250114976680167,tw_meta_standard_ios_tw-en_pros_purchase_ongoing_no-disc_testing,55,27.0,8.0,8.0,0.0,2.84,2.84,0.0,0.0,2.84,295.4,282.3,8
120249018598560167,tw_meta_standard_ios_tw-en_pros_purchase_ongoing_no-disc_testing,70,17.0,7.0,7.0,0.0,2.74,2.74,0.0,0.0,2.74,277.8,249.6,7
120249641997610167,tw_meta_standard_ios_tw-en_pros_trial_ongoing_winning,52,13.0,7.0,7.0,0.0,2.74,2.74,0.0,0.0,2.74,284.5,242.8,8
120249779562090167,tw_meta_standard_ios_tw-en_pros_purchase_ongoing_no-disc_testing,51,28.0,7.0,7.0,0.0,2.71,2.71,0.0,0.0,2.71,281.7,243.4,7
120249652815090167,tw_meta_standard_ios_tw-en_pros_trial_ongoing_scaling2,47,22.0,7.0,7.0,0.0,2.67,2.67,0.0,0.0,2.67,278.1,242.8,8
120249176070740167,tw_meta_standard_ios_tw-en_pros_purchase_ongoing_no-disc_testing,17,13.0,7.0,7.0,0.0,2.65,2.65,0.0,0.0,2.65,267.8,249.6,6
120246280873500167,tw_meta_standard_ios_tw-en_pros_purchase_ongoing_no-disc_testing,29,14.0,6.0,6.0,0.0,2.43,2.43,0.0,0.0,2.43,250.7,237.3,7
120246282571790167,tw_meta_standard_ios_tw-en_pros_purchase_ongoing_no-disc_testing,13,7.0,6.0,6.0,0.0,2.41,2.41,0.0,0.0,2.41,248.6,237.3,6
120246438347130167,tw_meta_standard_ios_tw-en_pros_purchase_ongoing_no-disc_testing,23,12.0,6.0,6.0,0.0,2.37,2.37,0.0,0.0,2.37,244.6,237.3,6
120245417330640167,tw_meta_standard_ios_tw-en_pros_trial_ongoing_winning,60,23.0,6.0,6.0,0.0,2.34,2.34,0.0,0.0,2.34,242.3,237.3,6
120245867742990167,tw_meta_standard_ios_tw-en_pros_purchase_ongoing_no-disc_testing,29,13.0,6.0,6.0,0.0,2.32,2.32,0.0,0.0,2.32,240.2,237.3,6
120249641760720167,tw_meta_standard_ios_tw-en_pros_purchase_ongoing_no-disc_testing,60,13.0,6.0,6.0,0.0,2.3,2.3,0.0,0.0,2.3,239.0,208.1,6
120249020715110167,tw_meta_standard_ios_tw-en_pros_purchase_ongoing_no-disc_testing,13,11.0,6.0,6.0,0.0,2.29,2.29,0.0,0.0,2.29,231.6,213.9,7
120248719893710167,tw_meta_standard_ios_tw-en_pros_purchase_ongoing_no-disc_testing,29,11.0,5.0,5.0,0.0,2.04,2.04,0.0,0.0,2.04,206.7,178.3,5
120247256194240167,tw_meta_standard_ios_tw-en_pros_purchase_ongoing_no-disc_testing,20,13.0,5.0,5.0,0.0,2.03,2.03,0.0,0.0,2.03,209.6,197.8,5
120249017985740167,tw_meta_standard_ios_tw-en_pros_purchase_ongoing_no-disc_testing,23,6.0,5.0,5.0,0.0,1.98,1.98,0.0,0.0,1.98,201.6,177.3,5
120246000716820167,tw_meta_standard-aem_ios_tw-en_pros_trial_ongoing_no-disc_scaling,199,78.0,5.0,5.0,0.0,1.94,1.94,0.0,0.0,1.94,200.1,197.8,5
120249469568100167,tw_meta_standard_ios_tw-en_pros_purchase_ongoing_no-disc_testing,36,15.0,5.0,5.0,0.0,1.9,1.9,0.0,0.0,1.9,198.0,173.4,6
120249114098820167,tw_meta_standard_ios_tw-en_pros_trial_ongoing_winning,108,23.0,5.0,5.0,0.0,1.9,1.9,0.0,0.0,1.9,192.5,178.3,9
120249176072350167,tw_meta_standard_ios_tw-en_pros_purchase_ongoing_no-disc_testing,34,13.0,5.0,5.0,0.0,1.88,1.88,0.0,0.0,1.88,193.8,175.4,5
120250308384310167,tw_meta_standard_ios_tw-en_pros_purchase_ongoing_no-disc_testing,17,5.0,5.0,5.0,0.0,1.71,1.71,0.0,0.0,1.71,177.6,176.5,6
120250329291480167,tw_meta_standard_ios_tw-en_pros_trial_ongoing_scaling2,21,14.0,5.0,5.0,0.0,1.7,1.7,0.0,0.0,1.7,177.1,176.5,5
120247235137270167,No Campaign Name,27,19.0,4.0,4.0,0.0,1.6,1.6,0.0,0.0,1.6,164.9,158.2,6
120248720435220167,tw_meta_standard_ios_tw-en_pros_purchase_ongoing_no-disc_testing,22,10.0,4.0,4.0,0.0,1.6,1.6,0.0,0.0,1.6,162.5,142.6,5
120246694266050167,tw_meta_standard_ios_tw-en_pros_trial_ongoing_winning3,15,9.0,4.0,4.0,0.0,1.6,1.6,0.0,0.0,1.6,164.8,158.2,4
120248898263350167,tw_meta_standard_ios_tw-en_pros_purchase_ongoing_no-disc_testing,17,8.0,4.0,4.0,0.0,1.59,1.59,0.0,0.0,1.59,160.6,142.6,4
120249992335170167,tw_meta_standard_ios_tw-en_pros_purchase_ongoing_no-disc_testing,28,12.0,4.0,4.0,0.0,1.53,1.53,0.0,0.0,1.53,159.2,138.7,4
120249469567140167,tw_meta_standard_ios_tw-en_pros_purchase_ongoing_no-disc_testing,12,7.0,4.0,4.0,0.0,1.53,1.53,0.0,0.0,1.53,158.7,138.7,4
120249992963230167,tw_meta_standard_ios_tw-en_pros_purchase_ongoing_no-disc_testing,14,6.0,4.0,4.0,0.0,1.5,1.5,0.0,0.0,1.5,155.6,138.7,4
120249992189790167,tw_meta_standard_ios_tw-en_pros_purchase_ongoing_no-disc_testing,30,11.0,4.0,4.0,0.0,1.49,1.49,0.0,0.0,1.49,155.4,138.7,5
120250114977080167,tw_meta_standard_ios_tw-en_pros_purchase_ongoing_no-disc_testing,17,7.0,4.0,4.0,0.0,1.44,1.44,0.0,0.0,1.44,149.6,141.2,4
120250211380190167,tw_meta_standard_ios_tw-en_pros_trial_ongoing_scaling2,15,8.0,4.0,4.0,0.0,1.38,1.38,0.0,0.0,1.38,144.0,141.2,4
120248612260260167,tw_meta_standard_ios_tw-en_pros_purchase_ongoing_no-disc_testing,14,4.0,3.0,3.0,0.0,1.24,1.24,0.0,0.0,1.24,125.7,107.0,3
120246280902840167,tw_meta_standard_ios_tw-en_pros_purchase_ongoing_no-disc_testing,13,8.0,3.0,3.0,0.0,1.23,1.23,0.0,0.0,1.23,127.6,118.7,3
120246282589460167,tw_meta_standard_ios_tw-en_pros_purchase_ongoing_no-disc_testing,12,8.0,3.0,3.0,0.0,1.19,1.19,0.0,0.0,1.19,122.8,118.7,3
120245149824260167,tw_meta_standard_ios_tw-en_pros_trial_ongoing_winning,9,3.0,3.0,3.0,0.0,1.17,1.17,0.0,0.0,1.17,120.4,118.7,3
120245904237110167,tw_meta_standard_ios_tw-en_pros_purchase_ongoing_no-disc_testing,5,3.0,3.0,3.0,0.0,1.17,1.17,0.0,0.0,1.17,120.8,118.7,3
120249641611010167,tw_meta_standard_ios_tw-en_pros_purchase_ongoing_no-disc_testing,31,7.0,3.0,3.0,0.0,1.16,1.16,0.0,0.0,1.16,120.3,104.1,3
120249018197870167,tw_meta_standard_ios_tw-en_pros_purchase_ongoing_no-disc_testing,25,12.0,3.0,3.0,0.0,1.13,1.13,0.0,0.0,1.13,115.2,106.0,3
6977353304992,JP_Meta_iOS_Trial_Advantage+,16,11.0,3.0,3.0,0.0,1.13,1.13,0.0,0.0,1.13,168.0,186.1,3
120249991458770167,tw_meta_standard_ios_tw-en_pros_purchase_ongoing_no-disc_testing,28,9.0,3.0,3.0,0.0,1.12,1.12,0.0,0.0,1.12,116.6,104.1,3
120249020669720167,tw_meta_standard_ios_tw-en_pros_purchase_ongoing_no-disc_testing,27,4.0,3.0,3.0,0.0,1.12,1.12,0.0,0.0,1.12,116.7,104.1,5
120249990716300167,tw_meta_standard_ios_tw-en_pros_purchase_ongoing_no-disc_testing,26,6.0,3.0,3.0,0.0,1.11,1.11,0.0,0.0,1.11,115.5,104.7,3
6977353302192,JP_Meta_iOS_Trial_Advantage+,14,6.0,3.0,3.0,0.0,1.1,1.1,0.0,0.0,1.1,163.8,192.5,3
120250211394320167,tw_meta_standard_ios_tw-en_pros_trial_ongoing_scaling2,58,8.0,3.0,3.0,0.0,1.06,1.06,0.0,0.0,1.06,110.1,105.9,4
120249761543890167,tw_meta_standard_web_tw-en_pros_purchase_promo_disc_TW_26Q3_Campaign_asc_scaling,143,2.0,3.0,3.0,0.0,1.05,1.05,0.0,0.0,1.05,109.3,105.9,4
120250308343750167,tw_meta_standard_ios_tw-en_pros_purchase_ongoing_no-disc_testing,28,10.0,3.0,3.0,0.0,1.02,1.02,0.0,0.0,1.02,106.4,105.9,3
120248334960360167,tw_meta_standard_ios_tw-en_pros_purchase_ongoing_no-disc_testing,13,8.0,2.0,2.0,0.0,0.83,0.83,0.0,0.0,0.83,86.1,79.1,2
120247235677870167,tw_meta_standard_ios_tw-en_pros_purchase_ongoing_no-disc_testing,20,5.0,2.0,2.0,0.0,0.83,0.83,0.0,0.0,0.83,84.9,75.2,2
120248341533720167,tw_meta_standard_ios_tw-en_pros_purchase_ongoing_no-disc_testing,8,4.0,2.0,2.0,0.0,0.82,0.82,0.0,0.0,0.82,82.7,71.3,2
120248898277620167,tw_meta_standard_ios_tw-en_pros_purchase_ongoing_no-disc_testing,28,8.0,2.0,2.0,0.0,0.82,0.82,0.0,0.0,0.82,83.1,71.3,3
120249918847860167,tw_meta_standard_ios_tw-en_pros_purchase_ongoing_no-disc_testing,20,11.0,2.0,2.0,0.0,0.81,0.81,0.0,0.0,0.81,83.8,69.4,3
120247011569420167,tw_meta_standard_ios_tw-en_pros_purchase_ongoing_no-disc_testing,13,6.0,2.0,2.0,0.0,0.81,0.81,0.0,0.0,0.81,83.4,79.1,2
120246280866870167,tw_meta_standard_ios_tw-en_pros_purchase_ongoing_no-disc_testing,18,5.0,2.0,2.0,0.0,0.81,0.81,0.0,0.0,0.81,83.8,79.1,2
