ad_id,spend,impressions,clicks,installs,trials,adj_trials,init_purch,trial_converts,campaign_name,ad_name,format,category,concept,creator_name,first_date,last_date,active_days,bucket,clean_name,c1,ipm,tpi,cpft,ctr,meta_paid_obs,ssot_trials,ssot_paid,ssot_ltv,af_installs,af_trials,af_trials_annual_reg,af_trials_annual_plus,af_trials_monthly,sp,phase,p1_point,p2_point
120248612089090167,9847.74,2633171,37870,411,110,185.62,5,0.0,tw_meta_standard_ios_tw-en_pros_trial_ongoing_scaling2,c1!ugc_c2!video_c3!ugc_c4!valueprop_c5!ongoing_c6!swm-jenny_c7!scenario_c8!salarynegotiation_scaling,,,,,2026-07-03,2026-08-09,22.0,Scaling,ugc – swm-jenny – scenario,ugc_c2,0.15608557135104403,0.04177472712558356,89.52490909090909,0.014381899238598632,5.0,167.0,65.44,6663.4,1098.0,266.0,181.0,49.0,26.0,2.6653832007751395,Phase 1 Winner,True,False
120248612147470167,162.16,45972,604,4,3,6.069999999999999,0,0.0,tw_meta_standard_ios_tw-en_pros_purchase_ongoing_no-disc_testing,c1!na_c2!video_c3!influencer_c4!productdemo_c5!ongoing_c6!bigeartv_c7!product_c8!og-reel,,,,,2026-07-03,2026-07-05,3.0,Testing,influencer – bigeartv – product,na_c2,0.08700948403375969,0.06525711302531977,54.053333333333335,0.013138432089097712,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.4897183376340264,Pause,False,False
120248612260260167,157.56,52091,662,9,3,5.550000000000001,0,0.0,tw_meta_standard_ios_tw-en_pros_purchase_ongoing_no-disc_testing,c1!na_c2!video_c3!influencer_c4!productdemo_c5!ongoing_c6!bigeartv_c7!product_c8!og-video,,,,,2026-07-03,2026-07-07,5.0,Testing,influencer – bigeartv – product,na_c2,0.17277456758365167,0.057591522527883895,52.52,0.01270852930448638,0.0,3.0,1.24,125.7,16.0,6.0,6.0,0.0,0.0,3.558885528710072,Pause,False,False
120248686842540167,1851.85,502152,4254,62,13,22.05,3,1.0,tw_meta_standard_ios_tw-en_pros_trial_ongoing_winning,c1!video_c2!video_c3!generic_c4!valueprop_c5!ongoing_c6!na_c7!credibility_c8!connor-keyskillsintheaiera-2cut_winning,,,,,2026-07-06,2026-07-19,14.0,Winning,generic – na,video_c2,0.12346859118354603,0.02588857557074352,142.45,0.008471538498303302,4.0,25.0,10.05,1017.5,164.0,32.0,24.0,6.0,2.0,1.3229456855869557,Pause,False,False
120248715194060167,817.61,264704,2277,19,5,8.99,0,0.0,tw_meta_standard_ios_tw-en_pros_trial_ongoing_scaling2,c1!video_c2!video_c3!generic_c4!valueprop_c5!ongoing_c6!na_c7!credibility_c8!connor-keyskillsintheaiera-2cut_scaling,,,,,2026-07-06,2026-07-08,3.0,Scaling,generic – na,video_c2,0.07177828820116054,0.01888902321083172,163.522,0.008602061170212765,0.0,7.0,2.87,290.3,44.0,12.0,10.0,2.0,0.0,1.3257215766926882,Pause,False,False
120248715237150167,7091.79,1705941,10630,284,93,166.42000000000002,4,2.0,tw_meta_standard_ios_tw-en_pros_trial_ongoing_scaling2,c1!na_c2!video_c3!influencer_c4!problemsolution_c5!ongoing_c6!drama_engbook_c7!testimonial_c8!input_output_short_scaling,,,,,2026-07-06,2026-08-06,32.0,Scaling,influencer –  – testimonial,na_c2,0.16647703525502933,0.054515367178583546,76.2558064516129,0.006231165087186486,6.0,120.0,48.18,4883.2,765.0,207.0,151.0,14.0,40.0,2.9693023783161605,Phase 1 Winner,True,False
120248718076390167,348.7,63913,913,14,0,0.0,0,0.0,tw_meta_standard_ios_tw-en_pros_trial_ongoing_winning,c1!na_c2!video_c3!influencer_c4!productdemo_c5!ongoing_c6!bigeartv_c7!product_c8!og-video_winning,,,,,2026-07-06,2026-08-02,28.0,Winning,influencer – bigeartv – product,na_c2,0.21904776805970616,0.0,,0.014285043731322266,0.0,0.0,0.0,0.0,26.0,0.0,0.0,0.0,0.0,0.8709322522541133,Pause,False,False
120248718399620167,1093.54,261339,9030,132,21,41.21,0,0.0,tw_meta_standard_ios_tw-en_pros_purchase_ongoing_no-disc_testing,c1!na_c2!video_c3!influencer_c4!productdemo_c5!ongoing_c6!eaglish.fam_c7!product_c8!og-video,,,,,2026-07-06,2026-07-09,4.0,Testing,influencer – eaglish.fam – product,na_c2,0.5050910885860893,0.08035540045687785,52.07333333333333,0.03455282219645747,0.0,30.0,12.3,1245.1,268.0,48.0,40.0,0.0,6.0,3.4819705911611805,Phase 2 Winner,True,True
120248719356730167,697.65,199468,3270,84,20,38.92,0,0.0,tw_meta_standard_ios_tw-en_pros_purchase_ongoing_no-disc_testing,c1!na_c2!video_c3!influencer_c4!productdemo_c5!ongoing_c6!harryspeaks__c7!product_c8!og-video,,,,,2026-07-07,2026-07-09,3.0,Testing,influencer – harryspeaks – product,na_c2,0.42112017967794335,0.10026670944712936,34.8825,0.01639360699460565,0.0,34.0,14.01,1418.2,162.0,39.0,27.0,6.0,2.0,2.757058581370131,Phase 2 Winner,True,True
120248719873780167,163.88,118078,1009,0,0,0.0,0,0.0,tw_meta_standard_ios_tw-en_pros_purchase_ongoing_no-disc_testing,c1!static_c2!image_c3!generic_c4!testimonial_c5!ongoing_c6!na_c7!testimonial_c8!instagramstory-native-,,,,,2026-07-06,2026-07-14,9.0,Testing,generic – na – testimonial,static_c2,0.0,0.0,,0.008545198936296346,0.0,1.0,0.41,41.7,18.0,2.0,2.0,0.0,0.0,0.5694944975947418,Pause,False,False
120248719893710167,397.06,125077,822,5,2,3.94,0,0.0,tw_meta_standard_ios_tw-en_pros_purchase_ongoing_no-disc_testing,c1!na_c2!video_c3!generic_c4!senario_c5!ongoing_c6!na_c7!us-winning_c8!start-tomorrow,,,,,2026-07-06,2026-07-12,7.0,Testing,generic – na – us-winning,na_c2,0.03997537516889596,0.015990150067558384,198.53,0.006571951677766496,0.0,5.0,2.04,206.7,36.0,10.0,6.0,0.0,2.0,1.0308706062830204,Pause,False,False
120248719912650167,1040.91,374169,3494,29,10,18.87,0,0.0,tw_meta_standard_ios_tw-en_pros_purchase_ongoing_no-disc_testing,c1!ugc_c2!video_c3!ugc_c4!testimonial_c5!ongoing_c6!mip-asianleadership_c7!usertestimonials_c8!fromsilenttospeakingup,,,,,2026-07-07,2026-07-12,6.0,Testing,ugc – mip-asianleadership – usertestimonials,ugc_c2,0.07750508460080872,0.02672589124165818,104.09100000000001,0.009338026399835369,0.0,13.0,5.24,530.5,116.0,26.0,22.0,2.0,2.0,1.6435000379980673,Mid-Tier,False,False
120248720012760167,317.38,204017,1770,12,1,1.97,0,0.0,tw_meta_standard_ios_tw-en_pros_purchase_ongoing_no-disc_testing,c1!static_c2!image_c3!generic_c4!testimonial_c5!ongoing_c6!na_c7!testimonial_c8!instagramstory-introvert-,,,,,2026-07-07,2026-07-13,7.0,Testing,generic – na – testimonial,static_c2,0.058818627859443084,0.0049015523216202565,317.38,0.008675747609267856,0.0,8.0,3.27,331.3,52.0,17.0,12.0,2.0,0.0,0.8920039580915998,Pause,False,False
120248720435220167,268.15,108054,1334,1,1,1.98,0,0.0,tw_meta_standard_ios_tw-en_pros_purchase_ongoing_no-disc_testing,c1!na_c2!image_c3!ugc_c4!senario_c5!ongoing_c6!miso.speaks_c7!interview_c8!interview-tips-carousel,,,,,2026-07-06,2026-07-11,6.0,Testing,ugc – miso.speaks – interview,na_c2,0.009254631943287616,0.009254631943287616,268.15,0.012345679012345678,0.0,4.0,1.6,162.5,26.0,8.0,6.0,0.0,2.0,0.8181028150219599,Pause,False,False
120248789397960167,43484.13,7571144,133476,2799,659,1020.9799999999999,0,0.0,tw_meta_standard_ios_tw-en_pros_trial_ongoing_scaling2,c1!na_c2!video_c3!influencer_c4!productdemo_c5!ongoing_c6!harryspeaks__c7!product_c8!og-video_scaling,,,,,2026-07-08,2026-09-15,47.0,Scaling,influencer – harryspeaks – product,na_c2,0.36969314016481525,0.08704100727710369,65.98502276176023,0.01762956826603747,0.0,735.0,278.87,28508.6,5154.0,1156.0,869.0,173.0,54.0,2.5446162254050297,Phase 1 Winner,True,False
120248790253970167,10853.99,2110493,42334,956,192,314.53,0,0.0,tw_meta_standard_ios_tw-en_pros_trial_ongoing_winning,c1!na_c2!video_c3!influencer_c4!productdemo_c5!ongoing_c6!eaglish.fam_c7!product_c8!og-video_c9!app-cpr,,,,,2026-07-08,2026-09-15,37.0,Winning,influencer – eaglish.fam – product,na_c2,0.45297473149638495,0.09097400465199364,56.53119791666666,0.020058820379882804,0.0,225.0,85.95,8782.8,1958.0,339.0,285.0,36.0,8.0,2.9626353772073117,Phase 1 Winner,True,False
