ad_id,spend,impressions,clicks,installs,trials,adj_trials,init_purch,trial_converts,campaign_name,ad_name,format,category,concept,creator_name,first_date,last_date,active_days,bucket,clean_name,c1,ipm,tpi,cpft,ctr,meta_paid_obs,ssot_trials,ssot_paid,ssot_ltv,af_installs,af_trials,af_trials_annual_reg,af_trials_annual_plus,af_trials_monthly,sp,phase,p1_point,p2_point,ltv_cac,signups,days,cpi,cps,cpm,ipc,signup_rate,spm,tpi_ssot,spend_per_day,vel_ratio
120247333574270167,1315.68,224949,2251,86,21,36.77,2,0.0,tw_meta_standard_ios_tw-en_pros_trial_ongoing_winning,c1!na_c2!video_c3!influencer_c4!productdemo_c5!ongoing_c6!havefunytchannel_c7!speakmethod_c8!vschatgpt-short_winning,,,,,2026-06-16,2026-07-21,36.0,Winning,influencer – havefunytchannel – speakmethod,na_c2,0.3823088789014399,0.0933544936852353,62.651428571428575,0.0100067126326411,2.0,16.0,6.56,670.2,144.0,30.0,22.0,4.0,2.0,3.864927094187961,Phase 1 Winner,True,False,0.506,40.0,36,15.298604651162792,32.892,5.8487923929424,0.03820524211461573,0.46511627906976744,0.17781808320997203,0.18604651162790697,36.54666666666667,0.7415688852037934
120247758597150167,4610.49,900074,10848,119,34,54.55,1,0.0,tw_meta_standard_ios_tw-en_pros_trial_ongoing_scaling2,c1!na_c2!video_c3!influencer_c4!productdemo_c5!ongoing_c6!techervincent_c7!valueprop_c8!og-video_scaling,,,,,2026-06-22,2026-06-29,8.0,Scaling,influencer – techervincent – valueprop,na_c2,0.1322113515110979,0.0377746718603137,135.60264705882352,0.0120523423629612,1.0,48.0,19.8,2044.8,272.0,72.0,49.0,12.0,0.0,1.7279627708990266,Mid-Tier,False,False,0.401,64.0,8,38.74361344537815,72.03890625,5.122345496036992,0.01096976401179941,0.5378151260504201,0.07110526467823756,0.40336134453781514,576.31125,2.0086339391316823
120247887628100167,5285.38,1209962,7022,217,54,87.24,0,0.0,tw_meta_standard_ios_tw-en_pros_trial_ongoing_scaling2,c1!ugc_c2!video_c3!ugc_c4!productdemo_c5!ongoing_c6!ai-gen_c7!outcome_c8!workplace-colleaguecompliment_1direct_scaling,,,,,2026-06-24,2026-06-28,5.0,Scaling,ugc – ai-gen – outcome,ugc_c2,0.1793444752810419,0.0446295007611809,97.8774074074074,0.0058034880434261,0.0,58.0,24.23,2503.8,464.0,113.0,86.0,12.0,0.0,2.755343150672988,Phase 1 Winner,True,False,0.375,131.0,5,24.356589861751154,40.34641221374046,4.368219828391305,0.030902876673312447,0.6036866359447005,0.10826786295767966,0.2672811059907834,1057.076,3.684256952890582
120247887774070167,1745.1,552251,3328,56,13,22.52,0,0.0,tw_meta_standard_ios_tw-en_pros_trial_ongoing_scaling2,c1!ugc_c2!video_c3!whitelist_c4!testimonial_c5!ongoing_c6!swm-tsai_c7!testimonial_c8!2-weeks-testmonial_scaling,,,,,2026-06-24,2026-07-04,11.0,Scaling,whitelist – swm-tsai – testimonial,ugc_c2,0.1014031663138681,0.0235400207514336,134.23846153846154,0.006026245312367,0.0,28.0,11.57,1185.7,188.0,54.0,42.0,10.0,0.0,1.6740070127991398,Mid-Tier,False,False,0.617,33.0,11,31.162499999999998,52.881818181818176,3.1599761702559164,0.016826923076923076,0.5892857142857143,0.05975543729210087,0.5,158.64545454545453,0.5529315006239642
120247888457690167,299.54,85933,1632,4,0,0.0,0,0.0,tw_meta_standard_ios_tw-en_pros_trial_ongoing_winning,c1!na_c2!video_c3!influencer_c4!productdemo_c5!ongoing_c6!chuchushoetw_c7!valueprop_c8!og-video_retest_winning,,,,,2026-06-24,2026-07-16,23.0,Winning,influencer –  – valueprop,na_c2,0.0465478919623427,0.0,,0.0189915399206358,0.0,1.0,0.42,43.5,20.0,2.0,2.0,0.0,0.0,1.155844024331107,Pause,False,False,0.0,1.0,23,74.885,299.54,3.4857388896000376,0.0024509803921568627,0.25,0.011636972990585689,0.25,13.023478260869567,0.264259565543293
120247888972120167,465.06,531956,1639,8,6,10.52,2,0.0,tw_meta_standard_ios_tw-en_pros_trial_ongoing_scaling2,c1!static_c2!image_c3!generic_c4!problemsolution_c5!ongoing_c6!na_c7!painpoint_c8!comic-engmeeting_scaling,,,,,2026-06-24,2026-07-22,28.0,Scaling,generic – na – painpoint,static_c2,0.0150388377986149,0.0112791283489611,77.51,0.0030810818939912,2.0,10.0,4.1,416.8,72.0,20.0,18.0,2.0,0.0,3.463086574873296,Pause,False,False,0.887,7.0,28,58.1325,66.43714285714286,0.874245238327982,0.004881025015253203,0.875,0.013158983073788058,1.25,16.609285714285715,0.0578888144044547
120247889143360167,2324.15,318624,3722,115,27,44.99,0,0.0,tw_meta_standard_ios_tw-en_pros_trial_ongoing_winning,c1!ugc_c2!video_c3!ugc_c4!productdemo_c5!ongoing_c6!ai-gen_c7!outcome_c8!workplace-colleaguecompliment_2practice_winning,,,,,2026-06-24,2026-08-04,42.0,Winning,ugc – ai-gen – outcome,ugc_c2,0.3609269860399718,0.0847393793311238,86.07962962962964,0.0116814803655719,0.0,30.0,11.87,1209.8,227.0,59.0,53.0,6.0,0.0,3.244552549956411,Phase 1 Winner,True,False,0.466,51.0,42,20.21,45.57156862745098,7.294334387867832,0.03089736700698549,0.4434782608695652,0.16006327206990056,0.2608695652173913,55.33690476190476,1.1228418490034895
120247889446440167,9024.99,4206360,61435,412,118,199.12,9,2.0,tw_meta_standard_ios_tw-en_pros_trial_ongoing_scaling2,c1!static_c2!image_c3!generic_c4!testimonial_c5!ongoing_c6!na_c7!testimonial_c8!threadspost-career-aitutor-1200x628_scaling,,,,,2026-06-24,2026-09-06,56.0,Scaling,generic – na – testimonial,static_c2,0.0979469184758318,0.0280527582042431,76.48296610169491,0.0146052644091328,11.0,161.0,63.47,6497.4,1250.0,317.0,230.0,50.0,17.0,3.67361973516688,Phase 1 Winner,True,False,0.767,237.0,56,21.90531553398058,38.08012658227848,2.145558154794169,0.00670627492471718,0.5752427184466019,0.056343251647505206,0.3907766990291262,161.16053571428571,0.561697384328968
120248324906930167,2788.57,734334,5335,57,12,20.35,0,0.0,tw_meta_standard_ios_tw-en_pros_trial_ongoing_scaling2,c1!ugc_c2!video_c3!ugc_c4!productdemo_c5!ongoing_c6!ai-gen_c7!outcome_c8!workplace-colleaguecompliment_2practice_winning_scaling,,,,,2026-06-29,2026-07-01,3.0,Scaling,ugc – ai-gen – outcome,ugc_c2,0.0776213548603224,0.016341337865331,232.38083333333336,0.007265086459295,0.0,22.0,9.17,945.3,150.0,31.0,23.0,6.0,0.0,1.458080433928939,Mid-Tier,False,False,0.307,29.0,3,48.92228070175439,96.15758620689655,3.7974137109271804,0.010684161199625118,0.5087719298245614,0.03949156650788333,0.38596491228070173,929.5233333333334,3.2396940273995094
120248334930940167,41.24,46550,175,0,0,0.0,0,0.0,tw_meta_standard_ios_tw-en_pros_purchase_ongoing_no-disc_testing,c1!static_c2!image_c3!generic_c4!problemsolution_c5!ongoing_c6!na_c7!painpoint_c8!comic-realtutor-1080x1080,,,,,2026-06-29,2026-07-11,10.0,Testing,generic – na – painpoint,static_c2,0.0,0.0,,0.0037593984962406,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.6353295122015044,Pause,False,False,0.0,0.0,10,,,0.8859291084854994,0.0,,0.0,,4.1240000000000006,0.10173484554139148
